 1          3         0.000166   0.027001      0.728453           0.678536            
 2          5         1.000000   0.050003      0.809817           0.693373            
 3          6         1.000000   0.067004      0.766722           0.580119            
 4          8         1.000000   0.096005      0.854243           0.675074            
 5          9         1.000000   0.119007      0.858403           0.681009            
 6          10        1.000000   0.136008      0.863727           0.684471            
 11         15        1.000000   0.231013      0.869551           0.682493            
 50         60        0.500000   0.786045      0.878037           0.685460            
 51         61        0.500000   0.799045      0.877704           0.681503            
 100        115       1.000000   1.475084      0.878869           0.682493            
 101        116       1.000000   1.488085      0.878702           0.682987            
 150        169       1.000000   2.152123      0.879201           0.676558            
 200        221       1.000000   2.812161      0.880033           0.680514            
 250        272       1.000000   3.475199      0.879700           0.682493            
 300        322       1.000000   4.130236      0.879700           0.682987            
 350        375       1.000000   4.806275      0.879368           0.683482            
 400        429       1.000000   5.482313      0.879534           0.683482            
 450        504       1.000000   6.271358      0.879201           0.683976            
 500        586       1.000000   7.097406      0.879201           0.681503            
 501        588       1.000000   7.118407      0.879201           0.681503            
 550        661       1.000000   7.900452      0.879201           0.681998            
 600        737       1.000000   8.698497      0.879534           0.683976            
 650        813       1.000000   9.494543      0.879368           0.685460            
 700        883       1.000000   10.245586     0.879700           0.684965            
 750        946       1.000000   10.970627     0.880033           0.684965            
 800        1013      1.000000   11.720670     0.879368           0.686449            
 850        1076      1.000000   12.441711     0.879700           0.686944            
 900        1146      1.000000   13.205755     0.879368           0.685955            
 950        1221      1.000000   14.001801     0.879368           0.686944            
 1000       1294      1.000000   14.786846     0.879534           0.687933            
 1001       1295      1.000000   14.799846     0.879534           0.687933            
 1050       1369      1.000000   15.587891     0.879201           0.687438            
 1100       1443      1.000000   16.480942     0.879534           0.686944            
 1150       1515      1.000000   17.275988     0.879867           0.688427            
 1200       1590      1.000000   18.078034     0.879534           0.688427            
 1250       1667      1.000000   18.986086     0.879700           0.689416            
 1300       1744      1.000000   19.827134     0.879368           0.689911            
 1350       1824      1.000000   20.756187     0.879035           0.689416            
 1400       1895      1.000000   21.603235     0.879700           0.691395            
 1450       1959      1.000000   22.509287     0.879368           0.690900            
 1500       2024      1.000000   23.670354     0.879035           0.690900            
 1550       2096      1.000000   24.492401     0.879368           0.689416            
 1600       2171      1.000000   25.317448     0.879534           0.688922            
 1650       2257      1.000000   26.314505     0.879035           0.688427            
 1700       2332      1.000000   27.187555     0.878536           0.689416            
 1750       2407      1.000000   28.043604     0.878536           0.689911            
 1800       2493      1.000000   29.004659     0.878369           0.687933            
 1850       2565      0.500000   29.887709     0.878536           0.687933            
 1900       2644      1.000000   30.765759     0.878369           0.687933            
 1950       2717      1.000000   31.694813     0.878369           0.686944            
 2000       2790      1.000000   32.547861     0.878369           0.687438            
 2050       2866      1.000000   33.443913     0.878536           0.686449            
 2100       2942      1.000000   34.381966     0.878536           0.686944            
 2150       3024      1.000000   35.318020     0.878702           0.686944            
 2200       3111      0.500000   36.229072     0.878536           0.686944            
 2250       3186      1.000000   37.166126     0.878369           0.686449            
 2300       3250      1.000000   37.971172     0.878702           0.686449            
 2350       3324      1.000000   38.788218     0.878702           0.686449            
 2400       3407      1.000000   39.774275     0.878536           0.685460            
 2450       3487      1.000000   40.631324     0.878536           0.685955            
 2500       3565      1.000000   41.551376     0.878702           0.686944            
 2550       3642      1.000000   42.406425     0.878702           0.686944            
 2600       3721      1.000000   43.359480     0.878702           0.686944            
 2650       3798      1.000000   44.233530     0.878702           0.687438            
 2700       3883      1.000000   45.167583     0.878536           0.687438            
 2750       3951      1.000000   45.967629     0.878536           0.687438            
 2800       4024      1.000000   46.811677     0.878702           0.687438            
 2850       4097      1.000000   47.673727     0.878536           0.686944            
 2900       4170      1.000000   48.617781     0.878536           0.686449            
 2950       4243      1.000000   49.468829     0.878536           0.686449            
 3000       4326      1.000000   50.350880     0.878536           0.685460            
 3050       4404      1.000000   51.242931     0.878536           0.685460            
 3100       4483      1.000000   52.142982     0.878536           0.685460            
 3150       4564      1.000000   53.004031     0.878369           0.685460            
 3200       4628      1.000000   53.797077     0.878369           0.685955            
 3250       4707      0.500000   54.668127     0.878369           0.685955            
 3300       4786      1.000000   55.572178     0.878369           0.685955            
 3350       4863      1.000000   56.386225     0.878536           0.685955            
 3400       4933      1.000000   57.291277     0.878369           0.685955            
 3450       5008      1.000000   58.097323     0.878369           0.685955            
 3500       5090      1.000000   59.010375     0.878536           0.685955            
 3550       5162      1.000000   59.832422     0.878536           0.685955            
 3600       5222      1.000000   60.733474     0.878536           0.685955            
 3650       5282      1.000000   61.465515     0.878536           0.685955            
 3700       5334      1.000000   62.148554     0.878536           0.685955            
 3750       5386      1.000000   62.830593     0.878369           0.685955            
 3800       5436      1.000000   63.724645     0.878369           0.685955            
 3850       5492      1.000000   64.729702     0.878369           0.685955            
 3900       5551      1.000000   65.665756     0.878536           0.685955            
 3950       5608      1.000000   66.470802     0.878536           0.685955            
 4000       5679      1.000000   67.427856     0.878536           0.685955            
 4050       5746      1.000000   68.267904     0.878536           0.686449            
 4100       5814      0.500000   69.091952     0.878536           0.686449            
 4150       5892      1.000000   70.013004     0.878536           0.685955            
 4200       5971      1.000000   70.858053     0.878536           0.685955            
 4250       6043      1.000000   71.785106     0.878536           0.685460            
 4300       6098      1.000000   72.607153     0.878536           0.685460            
 4350       6149      1.000000   73.273191     0.878536           0.685955            
 4400       6202      1.000000   74.075237     0.878536           0.685955            
 4450       6257      1.000000   74.832280     0.878536           0.685955            
 4500       6308      1.000000   75.553321     0.878536           0.686449            
 4550       6367      1.000000   76.363368     0.878536           0.686449            
 4600       6442      1.000000   77.276420     0.878536           0.686449            
