url,name,label,url_new
http://wiki.ubuntu.org.cn/,Ubuntu中文,百科全书,wiki.ubuntu.org.cn/
http://sznews.zjol.com.cn/,嵊州新网网,绍兴,sznews.zjol.com.cn/
http://www.zjdfc.com/,浙江东方职业技术学院,大专院校,www.zjdfc.com/
http://vn.china-embassy.org/,中华人民共和国驻越南社会主义共和国大使馆,驻外,vn.china-embassy.org/
http://www.cxbio.com/,西宝生物网,新闻与媒体,www.cxbio.com/
http://news.fudan.edu.cn/,复旦新闻文化网,校园新闻,news.fudan.edu.cn/
http://www.tishang.net/,体商网,电子商务,www.tishang.net/
http://www.jnvc.cn/,济南职业学院,大专院校,www.jnvc.cn/
http://bbs.runbible.cn/forum.php,跑步圣经网,跑步,bbs.runbible.cn/forum.php
http://e.cdqss.com/,成都商报,地区,e.cdqss.com/
http://www.shandongwanjie.com/,山东万杰医学院,大专院校,www.shandongwanjie.com/
http://www.wfmc.edu.cn/,潍坊医学院,大专院校,www.wfmc.edu.cn/
http://www.chinaconsulate.org.nz/chn/,中华人民共和国驻奥克兰总领事馆,纽西兰,www.chinaconsulate.org.nz/chn/
http://www.cjsh.org.cn/,中国学校卫生,校园新闻,www.cjsh.org.cn/
http://www.puworld.com/,环球聚氨酯网,化工,www.puworld.com/
http://www.fjetc.gov.cn/,福建省经济贸易委员会,福建,www.fjetc.gov.cn/
http://www.ginfulong.com/,莱州市锦福隆工贸有限公司,塑胶,www.ginfulong.com/
http://www.fsma.org.cn/,佛山市医学会,医学,www.fsma.org.cn/
http://www.hizyy.com/,海南省中医院,海南,www.hizyy.com/
http://www.njcc.edu.cn/,南京化工职业技术学院,江苏,www.njcc.edu.cn/
http://news.nankai.edu.cn/,南开新闻网,校园新闻,news.nankai.edu.cn/
http://www.ledu.com/,乐都网,网页游戏,www.ledu.com/
http://www.78baby.com/,宝宝乐园,幼儿,www.78baby.com/
http://www.ncnews.com.cn/,南昌新闻网,南昌,www.ncnews.com.cn/
http://www.scpolicec.com/,四川警察学院,大专院校,www.scpolicec.com/
http://www.sontan.net/,广州大学松田学院,广东,www.sontan.net/
http://www.gxun.edu.cn/,广西民族大学,大专院校,www.gxun.edu.cn/
http://www.tbtmap.cn/,深圳市标准技术研究院,广东,www.tbtmap.cn/
http://www.hengchu.cn/,恒初网,幼儿,www.hengchu.cn/
http://www.nbut.cn/,宁波工程学院,大专院校,www.nbut.cn/
http://www.fxingw.com/,复兴军事网,军事,www.fxingw.com/
http://www.jcy.gz.gov.cn/,广州检察视窗,检察院,www.jcy.gz.gov.cn/
http://www.u-therm.com/,长沙友欣仪器制造有限公司,仪器仪表,www.u-therm.com/
http://www.mzeyes.com/,北京民众眼科医院,眼科,www.mzeyes.com/
http://www.hnscse.gov.cn/,海南省留学服务中心,海南,www.hnscse.gov.cn/
http://www.cementscience.com/,Cement Science,新闻与媒体,www.cementscience.com/
http://news.zzu.edu.cn/,郑州大学新闻网,大专院校,news.zzu.edu.cn/
http://www.cuit.edu.cn/,成都信息工程学院,大专院校,www.cuit.edu.cn/
http://www.gdit.edu.cn/,广东科学技术职业学院,大专院校,www.gdit.edu.cn/
http://www.chubun.com/,中文导报,日本,www.chubun.com/
http://www.baoen.cn/,中国报恩网,新闻与媒体,www.baoen.cn/
http://www.sw119.gov.cn/,汕尾市消防信息网,汕尾,www.sw119.gov.cn/
http://web.4399.com/,4399网页游戏,网页游戏,web.4399.com/
http://www.hzbg.cn/,杭州植物园,植物,www.hzbg.cn/
http://hdnews.hqu.edu.cn/,华侨大学新闻网,大专院校,hdnews.hqu.edu.cn/
http://www.cqch.cn/,重庆市肿瘤医院,医院,www.cqch.cn/
http://www.sdkevin.cn/,山东凯文科技职业学院,大专院校,www.sdkevin.cn/
http://www.hzxh.gov.cn/,杭州西湖区门户网站,杭州,www.hzxh.gov.cn/
http://www.zspt.cn/,中山职业技术学院,大专院校,www.zspt.cn/
http://www.fjjxxy.cn/,福建江夏学院,大专院校,www.fjjxxy.cn/
http://www.cnsgg.com/,杭州山沟沟旅游网,杭州,www.cnsgg.com/
http://www.ntac.edu.cn/,南通农业职业技术学院,江苏,www.ntac.edu.cn/
http://news.uibe.edu.cn/,对外经济贸易大学,校园新闻,news.uibe.edu.cn/
http://www.sony.com.cn/ses/,索尼探梦,科普,www.sony.com.cn/ses/
http://www.sqstour.com/,上海强生国际旅行社,上海,www.sqstour.com/
http://www.qiluhospital.com/,山东大学齐鲁医院,医院,www.qiluhospital.com/
http://www.zazy.cn/,郑州工业安全职业学院,大专院校,www.zazy.cn/
http://bshbj.baoshan.sh.cn/,宝山环保局网,宝山区,bshbj.baoshan.sh.cn/
http://www.zgxqds.com/,中国象棋大师网,中国象棋,www.zgxqds.com/
http://www.fjtcm.edu.cn/,福建中医学院,大专院校,www.fjtcm.edu.cn/
http://www.lyghb.gov.cn/,连云港市环保局,连云港,www.lyghb.gov.cn/
http://blog.sina.com.cn/sanglan,桑兰_新浪博客,体操,blog.sina.com.cn/sanglan
http://www.ptu.edu.cn/,莆田学院,福建,www.ptu.edu.cn/
http://www.hnist.cn/,湖南理工学院,湖南,www.hnist.cn/
http://www.russia.org.cn/,俄罗斯联邦驻华大使馆,驻华,www.russia.org.cn/
http://www.jsngd.org.cn/,中国农工民主党江苏省委员会,江苏,www.jsngd.org.cn/
http://www.shbatuo.com/,上海巴拓仪器厂,仪器仪表,www.shbatuo.com/
http://www.cchess.com/,中国象棋网,中国象棋,www.cchess.com/
